"","id","condition_group"
"1","id0001","Proposer"
"2","id0002","None"
"3","id0003","Proposer"
"4","id0004","None"
"5","id0005","None"
"6","id0006","None"
"7","id0008","None"
"8","id0009","Proposer"
"9","id0010","Proposer"
"10","id0011","None"
"11","id0012","None"
"12","id0013","None"
"13","id0014","Proposer"
"14","id0016","None"
"15","id0017","None"
"16","id0019","None"
"17","id0020","None"
"18","id0021","None"
"19","id0022","Proposer"
"20","id0023","None"
"21","id0024","None"
"22","id0025","None"
"23","id0026","Proposer"
"24","id0028","None"
"25","id0029","None"
"26","id0030","Proposer"
"27","id0031","Proposer"
"28","id0032","Proposer"
"29","id0033","Proposer"
"30","id0034","Proposer"
"31","id0036","None"
"32","id0040","None"
"33","id0043","None"
"34","id0044","None"
"35","id0045","Proposer"
"36","id0046","None"
"37","id0047","Proposer"
"38","id0048","None"
"39","id0049","Proposer"
"40","id0050","None"
"41","id0051","Proposer"
"42","id0053","None"
"43","id0054","None"
"44","id0056","Proposer"
"45","id0057","None"
"46","id0058","None"
"47","id0059","Proposer"
"48","id0060","Proposer"
"49","id0062","Proposer"
"50","id0066","Proposer"
"51","id0067","Proposer"
"52","id0068","None"
"53","id0069","None"
"54","id0070","Proposer"
"55","id0071","Proposer"
"56","id0072","None"
"57","id0073","Proposer"
"58","id0074","Proposer"
"59","id0075","Proposer"
"60","id0076","Proposer"
"61","id0078","Proposer"
"62","id0079","Proposer"
"63","id0080","Proposer"
"64","id0081","None"
"65","id0082","None"
"66","id0084","None"
"67","id0085","None"
"68","id0086","None"
"69","id0087","Proposer"
"70","id0088","Proposer"
"71","id0089","Proposer"
"72","id0090","Proposer"
"73","id0092","Proposer"
"74","id0093","Proposer"
"75","id0094","Proposer"
"76","id0095","Proposer"
"77","id0097","Proposer"
"78","id0098","None"
"79","id0100","None"
"80","id0101","None"
"81","id0102","Proposer"
"82","id0103","Proposer"
"83","id0105","None"
"84","id0106","None"
"85","id0107","None"
"86","id0108","None"
"87","id0109","Proposer"
"88","id0111","None"
"89","id0112","Proposer"
"90","id0113","Proposer"
"91","id0114","Proposer"
"92","id0115","Proposer"
"93","id0116","Proposer"
"94","id0117","None"
"95","id0120","None"
"96","id0121","None"
"97","id0122","Proposer"
"98","id0123","Proposer"
"99","id0124","Proposer"
"100","id0125","None"
"101","id0126","None"
"102","id0127","Proposer"
"103","id0128","None"
"104","id0129","None"
"105","id0131","Proposer"
"106","id0133","Proposer"
"107","id0134","None"
"108","id0135","None"
"109","id0136","None"
"110","id0137","Proposer"
"111","id0138","Proposer"
"112","id0139","None"
"113","id0140","Proposer"
"114","id0141","Proposer"
"115","id0142","None"
"116","id0143","Proposer"
"117","id0144","Proposer"
"118","id0146","None"
"119","id0147","Proposer"
"120","id0149","Proposer"
"121","id0150","Proposer"
"122","id0151","None"
"123","id0152","None"
"124","id0153","Proposer"
"125","id0154","Proposer"
"126","id0155","Proposer"
"127","id0156","Proposer"
"128","id0157","Proposer"
"129","id0158","Proposer"
"130","id0160","Proposer"
"131","id0161","Proposer"
"132","id0162","None"
"133","id0163","None"
"134","id0164","Proposer"
"135","id0166","None"
"136","id0167","Proposer"
"137","id0169","None"
"138","id0170","None"
"139","id0171","Proposer"
"140","id0172","Proposer"
"141","id0173","Proposer"
"142","id0174","None"
"143","id0175","Proposer"
"144","id0176","Proposer"
"145","id0177","Proposer"
"146","id0178","None"
"147","id0179","None"
"148","id0180","Proposer"
"149","id0181","None"
"150","id0183","Proposer"
"151","id0186","Proposer"
"152","id0187","Proposer"
"153","id0188","Proposer"
"154","id0189","None"
"155","id0191","None"
"156","id0192","Proposer"
"157","id0193","None"
"158","id0194","Proposer"
"159","id0195","Proposer"
"160","id0196","Proposer"
"161","id0197","Proposer"
"162","id0198","Proposer"
"163","id0199","None"
"164","id0200","None"
"165","id0201","Proposer"
"166","id0202","None"
"167","id0204","Proposer"
"168","id0205","Proposer"
"169","id0206","Proposer"
"170","id0207","None"
"171","id0208","None"
"172","id0209","None"
"173","id0210","Proposer"
"174","id0211","None"
"175","id0213","None"
"176","id0215","Proposer"
"177","id0216","Proposer"
"178","id0217","None"
"179","id0218","None"
"180","id0219","None"
"181","id0220","None"
"182","id0221","Proposer"
"183","id0222","None"
"184","id0224","None"
"185","id0225","None"
"186","id0226","None"
