"","id","age","gender","training_condition","outcome","money_won","time_elapsed","strategy","know_ug","ug_strategy"
"1","id0001",35,"Male","training_self",0,0,324154,"Accept offers that where equitable or slightly in favor of opponent. This evolved into rejecting any proposal that was not favorable.","Question not asked","Question not asked"
"2","id0002",30,"Male","training_self",0,0,359866,"I only accepted ones that were even to both people.","Question not asked","Question not asked"
"3","id0003",28,"Female","control",0,0,380041,"Rejected if I earned 3 or less","Question not asked","Question not asked"
"4","id0004",58,"female","training_others",0,0,379281,"If what I got was lower, I rejected","Question not asked","Question not asked"
"5","id0005",36,"Male","control",5,0.25,409827,"Since one offer would be accepted randomly, I wanted my pool of potential offers to contain high dollar amounts. Once I realized the higher dollar amounts offered to me were in the $5â€“6 range, I accepted those and rejected others.","Question not asked","Question not asked"
"6","id0006",30,"Male","control",4,0.2,359106,"Always accept the AI offer, and punish Participant offers that were too greedy (I got 2 dollars or less).","Question not asked","Question not asked"
"7","id0007",48,"Male","training_self",5,0.25,465091,"$2 was the lowest I'd accept","Question not asked","Question not asked"
"8","id0008",52,"female","training_others",4,0.2,296982,"no more than 60/40 was acceoted","Question not asked","Question not asked"
"9","id0009",37,"Male","training_others",5,0.25,447115," I accepted roughly 60-40 splits or more. 70-30 splits I tended to reject. ","Question not asked","Question not asked"
"10","id0010",32,"Male","training_self",5,0.25,396984,"Trying to maximize the amount of money I would get. Also wanted to influence the AI to not lowball on its' offerings.","Question not asked","Question not asked"
"11","id0011",69,"female","training_self",0,0,337744,"getting money","Question not asked","Question not asked"
"12","id0012",23,"Female","training_others",0,0,380486,"Tried to pick offers that felt fair or that were generous","Question not asked","Question not asked"
"13","id0013",37,"female","training_self",2,0.1,383297,"at first I accepted all but then only accepted those $5 or more to me","Question not asked","Question not asked"
"14","id0014",59,"Male","training_others",0,0,668188,"I rejected the offers that were too low for me","Question not asked","Question not asked"
"15","id0015",21,"Female","training_others",5,0.25,453653,"60b427e3ad20ae8d5753152b","Question not asked","Question not asked"
"16","id0016",31,"male","control",0,0,382127,"I rejected offers that were $2 of less for me because I felt like they were too heavily favored for the other side. ","Question not asked","Question not asked"
"17","id0017",48,"male","training_self",0,0,372739,"chose an offer that benefited me","Question not asked","Question not asked"
"18","id0018",38,"female","training_self",0,0,371760,"I wanted the offers to be more fair, so I rejected ones that were too weighted for the other participant.","Question not asked","Question not asked"
"19","id0019",38,"male","training_self",0,0,380660,"The minimum I was willing to accept was $4","Question not asked","Question not asked"
"20","id0020",51,"Female","training_others",0,0,385823,"If it seemed fair or was equal, I would accept the offer. ","Question not asked","Question not asked"
"21","id0021",63,"male","training_self",3,0.15,525481,"equal splits or better I accept, rest I reject","Question not asked","Question not asked"
"22","id0022",53,"female","training_others",0,0,730624,"if it was below 3 bucks for me, I rejected it","Question not asked","Question not asked"
"23","id0023",49,"female","training_others",5,0.25,314674,"I just wanted to make sure the accepted offers weren't wildly different in price. ","Question not asked","Question not asked"
"24","id0024",53,"F","control",4,0.2,472355,"no strategy","Question not asked","Question not asked"
"25","id0025",45,"Male","training_self",4,0.2,410615,"As long as the offer was more than $1 I accepted it.","Question not asked","Question not asked"
"26","id0026",44,"female","control",0,0,300316,"fair amounts","Question not asked","Question not asked"
"27","id0027",22,"M","training_self",5,0.25,907100,"Accept if $3 or more and human, or reject anything less than $4 for me.","Question not asked","Question not asked"
"28","id0028",29,"Male","training_self",4,0.2,385486,"I rejected any offer where I would receive less than $3","Question not asked","Question not asked"
"29","id0029",25,"Female ","training_others",6,0.3,391536,"If the offer was equal, I got more, or I got one dollar less than half","Question not asked","Question not asked"
"30","id0030",36,"Female","training_others",0,0,347471,"No","Question not asked","Question not asked"
"31","id0031",35,"Male","training_self",3,0.15,386022,"I accepted anything that would be $2 or higher for myself","Question not asked","Question not asked"
"32","id0032",44,"Male","training_self",4,0.2,343375,"$2 or less I rejected","Question not asked","Question not asked"
"33","id0033",24,"female","control",0,0,276733,"I wanted no less than $3 from the actual participant and no less than $5 from ai","Question not asked","Question not asked"
"34","id0034",45,"Male","control",4,0.2,365395,"No particular strategy.  I preferred 50/50, but would've gone a little lower (And did) for some of them, but then decided it was taking advantage of me and did so in the end anyway.","Question not asked","Question not asked"
"35","id0035",34,"male","control",0,0,375471,"only that I dont repesct clearly greedy offers (8/2 or 9/1 were the line anythng else was fine)","Question not asked","Question not asked"
"36","id0036",50,"female","training_self",4,0.2,521642,"I don't know if it was a strategy, but I rejected any split more than 7/3. I have no idea why that was the system I chose.","Question not asked","Question not asked"
"37","id0037",30,"female","training_others",0,0,307836,"I rejected the low ones","Question not asked","Question not asked"
"38","id0038",57,"female","training_others",5,0.25,457416,"i picked the ones that seem most fair","Question not asked","Question not asked"
"39","id0039",36,"female","training_others",0,0,440600,"I tried to reject any offer that was more than $1 difference in the other's favor.","Question not asked","Question not asked"
"40","id0040",51,"female","training_others",5,0.25,434935,"no","Question not asked","Question not asked"
"41","id0041",63,"female","training_others",3,0.15,506374,"If the amount was above 3 then I would accept it.","Question not asked","Question not asked"
"42","id0042",23,"female","control",4,0.2,348432,"If the opponent was human I always accepted since it would benefit another human.  If the AI's offer was $2 and below, I had to think about it.","Question not asked","Question not asked"
"43","id0043",71,"male","control",6,0.3,524901,"none","Question not asked","Question not asked"
"44","id0044",36,"Male","training_self",0,0,383382,"yes. anything under $4 i rejected","Question not asked","Question not asked"
