"","id","training_condition"
"1","id0001","training_self"
"2","id0002","training_self"
"3","id0004","training_others"
"4","id0005","control"
"5","id0006","control"
"6","id0007","training_self"
"7","id0008","training_others"
"8","id0009","training_others"
"9","id0011","training_self"
"10","id0011","training_self"
"11","id0012","training_others"
"12","id0014","training_others"
"13","id0015","training_others"
"14","id0016","control"
"15","id0017","training_self"
"16","id0018","training_self"
"17","id0019","training_self"
"18","id0020","training_others"
"19","id0021","training_self"
"20","id0022","training_others"
"21","id0023","training_others"
"22","id0024","control"
"23","id0026","control"
"24","id0027","training_self"
"25","id0028","training_self"
"26","id0031","training_self"
"27","id0032","training_self"
"28","id0034","control"
"29","id0035","control"
"30","id0036","training_self"
"31","id0037","training_others"
"32","id0039","training_others"
"33","id0040","training_others"
"34","id0041","training_others"
"35","id0042","control"
"36","id0043","control"
"37","id0045","training_self"
"38","id0046","training_self"
"39","id0048","training_self"
"40","id0050","training_others"
"41","id0051","training_self"
"42","id0052","training_self"
"43","id0053","training_others"
"44","id0054","control"
"45","id0054","control"
"46","id0055","training_self"
"47","id0057","training_self"
"48","id0058","training_others"
"49","id0060","training_self"
"50","id0061","training_self"
"51","id0063","training_others"
"52","id0065","training_self"
"53","id0066","training_self"
"54","id0069","control"
"55","id0070","control"
"56","id0073","training_others"
"57","id0074","control"
"58","id0075","control"
"59","id0076","training_others"
"60","id0077","training_self"
"61","id0078","control"
"62","id0079","training_self"
"63","id0080","training_self"
"64","id0083","control"
"65","id0084","training_self"
"66","id0085","training_self"
"67","id0087","training_others"
"68","id0089","control"
"69","id0090","training_others"
"70","id0091","control"
"71","id0093","training_others"
"72","id0094","control"
"73","id0096","training_self"
"74","id0097","training_others"
"75","id0098","training_self"
"76","id0100","training_others"
"77","id0101","training_others"
"78","id0102","control"
"79","id0103","control"
"80","id0104","training_others"
"81","id0105","training_others"
"82","id0106","training_self"
"83","id0107","control"
"84","id0108","training_others"
"85","id0109","training_self"
"86","id0111","training_self"
"87","id0112","training_self"
"88","id0113","training_others"
"89","id0114","training_self"
"90","id0116","control"
"91","id0118","training_others"
"92","id0119","control"
"93","id0120","training_others"
"94","id0121","training_others"
"95","id0122","training_self"
"96","id0123","training_self"
"97","id0124","training_self"
"98","id0126","training_others"
"99","id0127","control"
"100","id0128","control"
"101","id0130","control"
"102","id0131","training_self"
"103","id0132","control"
"104","id0133","control"
"105","id0134","training_self"
"106","id0135","training_self"
"107","id0136","training_self"
"108","id0137","training_self"
"109","id0138","training_self"
"110","id0139","training_self"
"111","id0141","control"
"112","id0142","control"
"113","id0144","training_others"
"114","id0145","control"
"115","id0146","control"
"116","id0147","control"
"117","id0148","training_others"
"118","id0150","training_self"
"119","id0151","training_others"
"120","id0152","training_self"
"121","id0153","training_self"
"122","id0154","training_self"
"123","id0156","training_others"
"124","id0157","control"
"125","id0159","training_others"
"126","id0160","training_others"
"127","id0161","training_self"
"128","id0162","control"
"129","id0163","control"
"130","id0164","training_self"
"131","id0165","training_others"
"132","id0166","training_others"
"133","id0167","training_self"
"134","id0168","training_others"
"135","id0169","training_others"
"136","id0170","training_others"
"137","id0171","training_others"
"138","id0172","training_self"
"139","id0174","training_others"
"140","id0175","training_self"
"141","id0176","training_self"
"142","id0177","training_self"
"143","id0178","training_others"
"144","id0179","training_self"
"145","id0180","training_self"
"146","id0182","control"
"147","id0183","training_self"
"148","id0184","training_others"
"149","id0185","control"
"150","id0186","training_others"
"151","id0186","training_others"
"152","id0187","control"
"153","id0188","control"
"154","id0190","training_self"
"155","id0192","training_others"
"156","id0193","training_others"
"157","id0194","control"
"158","id0195","control"
"159","id0197","training_others"
"160","id0198","training_others"
"161","id0199","training_self"
"162","id0200","control"
"163","id0201","training_self"
"164","id0202","training_self"
"165","id0203","control"
"166","id0205","training_others"
"167","id0206","training_self"
"168","id0206","training_self"
"169","id0207","control"
"170","id0208","training_others"
"171","id0209","training_others"
"172","id0210","training_others"
"173","id0211","training_others"
"174","id0212","control"
"175","id0213","control"
"176","id0214","training_self"
"177","id0215","training_self"
"178","id0216","control"
"179","id0217","training_self"
"180","id0218","training_self"
"181","id0219","control"
"182","id0220","training_self"
"183","id0221","control"
"184","id0222","control"
"185","id0224","control"
"186","id0226","training_others"
"187","id0227","control"
"188","id0229","training_others"
"189","id0230","control"
"190","id0231","training_others"
"191","id0232","training_others"
"192","id0233","training_self"
"193","id0234","training_self"
"194","id0235","training_others"
"195","id0236","control"
"196","id0237","control"
"197","id0240","training_others"
"198","id0242","training_self"
"199","id0243","training_others"
"200","id0244","training_self"
"201","id0246","training_self"
"202","id0247","training_self"
"203","id0248","training_self"
"204","id0249","training_others"
"205","id0253","control"
"206","id0254","training_others"
"207","id0256","training_self"
"208","id0257","control"
"209","id0258","training_self"
"210","id0259","training_self"
"211","id0260","training_self"
"212","id0261","training_self"
"213","id0262","training_others"
"214","id0263","training_self"
"215","id0264","control"
"216","id0265","control"
"217","id0266","control"
"218","id0267","control"
"219","id0268","training_others"
"220","id0269","control"
"221","id0270","training_self"
"222","id0271","training_others"
"223","id0273","training_others"
"224","id0273","training_others"
"225","id0274","training_others"
"226","id0275","training_others"
"227","id0276","training_self"
"228","id0278","control"
"229","id0279","control"
"230","id0280","control"
"231","id0281","training_self"
"232","id0282","training_others"
"233","id0283","training_others"
"234","id0284","training_others"
"235","id0285","control"
"236","id0286","training_self"
"237","id0287","training_others"
"238","id0288","training_others"
"239","id0289","training_others"
"240","id0290","training_self"
"241","id0291","control"
"242","id0293","training_others"
"243","id0294","training_self"
"244","id0295","training_self"
"245","id0297","training_self"
"246","id0298","training_self"
"247","id0299","control"
"248","id0300","training_self"
"249","id0301","training_others"
"250","id0302","training_self"
"251","id0303","control"
"252","id0304","control"
"253","id0305","training_self"
"254","id0306","training_self"
"255","id0307","training_self"
"256","id0308","control"
"257","id0310","training_self"
"258","id0311","training_others"
"259","id0312","training_self"
"260","id0313","control"
"261","id0314","training_others"
"262","id0315","training_self"
"263","id0316","training_others"
"264","id0317","control"
"265","id0318","training_others"
"266","id0319","training_self"
"267","id0320","control"
"268","id0321","training_self"
"269","id0322","control"
"270","id0323","control"
"271","id0324","control"
"272","id0325","training_self"
"273","id0326","control"
"274","id0327","control"
"275","id0328","training_self"
"276","id0329","control"
"277","id0330","training_self"
"278","id0331","training_self"
"279","id0331","training_self"
"280","id0332","control"
"281","id0333","training_others"
"282","id0335","training_self"
"283","id0336","training_others"
"284","id0337","training_self"
"285","id0338","training_self"
"286","id0339","training_self"
"287","id0340","training_self"
"288","id0341","control"
"289","id0342","control"
"290","id0343","training_others"
"291","id0344","training_self"
"292","id0345","control"
"293","id0346","control"
"294","id0347","training_self"
"295","id0349","training_others"
"296","id0350","control"
"297","id0351","training_others"
"298","id0353","control"
"299","id0354","control"
"300","id0355","control"
