"","id","training_condition"
"1","id0001","training_others"
"2","id0002","training_others"
"3","id0003","training_others"
"4","id0004","control"
"5","id0005","control"
"6","id0006","training_others"
"7","id0007","training_others"
"8","id0008","control"
"9","id0009","training_others"
"10","id0010","training_others"
"11","id0011","training_others"
"12","id0012","control"
"13","id0013","training_others"
"14","id0014","training_others"
"15","id0015","control"
"16","id0016","training_others"
"17","id0017","training_others"
"18","id0018","control"
"19","id0019","training_others"
"20","id0020","training_others"
"21","id0021","training_others"
"22","id0022","control"
"23","id0023","control"
"24","id0024","training_others"
"25","id0025","training_others"
"26","id0026","control"
"27","id0027","training_others"
"28","id0028","control"
"29","id0029","training_others"
"30","id0030","control"
"31","id0031","control"
"32","id0032","training_others"
"33","id0033","control"
"34","id0034","control"
"35","id0035","training_others"
"36","id0036","training_others"
"37","id0037","training_others"
"38","id0038","training_others"
"39","id0038","training_others"
"40","id0039","control"
"41","id0040","control"
"42","id0041","control"
"43","id0042","control"
"44","id0043","control"
"45","id0044","control"
"46","id0045","control"
"47","id0046","training_others"
"48","id0047","training_others"
"49","id0048","training_others"
"50","id0049","control"
"51","id0050","control"
"52","id0051","training_others"
"53","id0052","training_others"
"54","id0053","training_others"
"55","id0054","training_others"
"56","id0055","training_others"
"57","id0056","training_others"
"58","id0057","control"
"59","id0058","training_others"
"60","id0059","control"
"61","id0060","control"
"62","id0061","control"
"63","id0062","training_others"
"64","id0063","training_others"
"65","id0064","training_others"
"66","id0065","control"
"67","id0066","control"
"68","id0066","training_others"
"69","id0067","training_others"
"70","id0068","training_others"
"71","id0069","control"
"72","id0070","control"
"73","id0071","training_others"
"74","id0071","training_others"
"75","id0072","training_others"
"76","id0073","training_others"
"77","id0074","control"
"78","id0075","training_others"
"79","id0076","control"
"80","id0077","training_others"
"81","id0078","training_others"
"82","id0079","control"
"83","id0080","training_others"
"84","id0081","training_others"
"85","id0082","training_others"
"86","id0083","training_others"
"87","id0084","control"
"88","id0085","control"
"89","id0086","control"
"90","id0087","control"
"91","id0088","training_others"
"92","id0089","training_others"
"93","id0090","training_others"
"94","id0091","control"
"95","id0092","control"
"96","id0093","training_others"
"97","id0094","control"
"98","id0095","training_others"
"99","id0096","control"
"100","id0097","control"
"101","id0098","control"
"102","id0099","control"
"103","id0100","control"
"104","id0101","control"
"105","id0102","training_others"
"106","id0103","control"
"107","id0104","control"
"108","id0105","training_others"
"109","id0106","training_others"
"110","id0107","training_others"
"111","id0108","training_others"
"112","id0109","control"
"113","id0110","control"
"114","id0111","training_others"
"115","id0112","control"
"116","id0113","training_others"
"117","id0114","control"
"118","id0115","training_others"
"119","id0116","training_others"
"120","id0117","training_others"
"121","id0118","control"
"122","id0119","training_others"
"123","id0120","training_others"
"124","id0121","control"
"125","id0122","training_others"
"126","id0123","control"
"127","id0124","training_others"
"128","id0125","training_others"
"129","id0126","control"
"130","id0127","training_others"
"131","id0128","control"
"132","id0129","training_others"
"133","id0130","training_others"
"134","id0131","control"
"135","id0132","training_others"
"136","id0133","training_others"
"137","id0134","training_others"
"138","id0135","training_others"
"139","id0136","training_others"
"140","id0136","control"
"141","id0137","control"
"142","id0138","control"
"143","id0139","training_others"
"144","id0140","training_others"
"145","id0141","training_others"
"146","id0142","control"
"147","id0143","training_others"
"148","id0144","control"
"149","id0145","control"
"150","id0146","training_others"
"151","id0147","control"
"152","id0148","control"
"153","id0149","training_others"
"154","id0150","training_others"
"155","id0151","control"
"156","id0152","training_others"
"157","id0153","training_others"
"158","id0154","training_others"
"159","id0155","control"
"160","id0156","training_others"
"161","id0157","control"
"162","id0158","control"
"163","id0159","training_others"
"164","id0160","training_others"
"165","id0161","training_others"
"166","id0162","training_others"
"167","id0163","training_others"
"168","id0164","training_others"
"169","id0165","control"
"170","id0166","control"
"171","id0166","training_others"
"172","id0167","control"
"173","id0168","training_others"
"174","id0169","control"
"175","id0170","control"
"176","id0171","training_others"
"177","id0172","training_others"
"178","id0173","control"
"179","id0174","training_others"
"180","id0175","control"
"181","id0176","control"
"182","id0177","training_others"
"183","id0178","control"
"184","id0179","training_others"
"185","id0180","training_others"
"186","id0181","training_others"
"187","id0182","control"
"188","id0183","control"
"189","id0184","training_others"
"190","id0185","control"
"191","id0186","training_others"
"192","id0187","training_others"
"193","id0188","training_others"
"194","id0189","control"
"195","id0190","control"
"196","id0191","control"
"197","id0192","training_others"
"198","id0193","control"
"199","id0194","control"
"200","id0195","control"
"201","id0196","training_others"
"202","id0197","control"
"203","id0198","training_others"
"204","id0199","training_others"
"205","id0200","control"
"206","id0201","training_others"
"207","id0202","control"
"208","id0203","training_others"
"209","id0204","control"
"210","id0205","control"
"211","id0206","control"
"212","id0207","training_others"
"213","id0208","control"
"214","id0209","training_others"
"215","id0210","training_others"
"216","id0211","training_others"
"217","id0212","training_others"
"218","id0213","control"
"219","id0214","control"
"220","id0215","control"
"221","id0216","control"
"222","id0217","control"
"223","id0218","training_others"
"224","id0219","control"
"225","id0220","training_others"
"226","id0221","control"
"227","id0222","training_others"
"228","id0223","training_others"
"229","id0224","training_others"
"230","id0225","control"
"231","id0226","training_others"
"232","id0227","control"
"233","id0228","training_others"
"234","id0229","control"
