"","id","block","trial_number","practice_trial","random_trial","opponent","training_condition","proposer_offer","receiver_offer","color","response_key","response","outcome","reaction_time"
"1","id0001",0,1,1,0,"practice","Practice",7,3,"black","f","accept",3,17079
"2","id0001",0,2,1,0,"practice","Practice",10,0,"black","j","reject",0,4357
"3","id0001",1,1,0,0,"AI","training_others",4,6,"CornflowerBlue","f","accept",6,3562
"4","id0001",1,2,0,0,"human","training_others",7,3,"Orange","j","reject",0,29360
"5","id0001",1,3,0,0,"human","training_others",9,1,"Orange","j","reject",0,4585
"6","id0001",1,4,0,0,"human","training_others",8,2,"Orange","j","reject",0,3021
"7","id0001",1,5,0,0,"human","training_others",6,4,"Orange","f","accept",4,3968
"8","id0001",1,6,0,0,"AI","training_others",9,1,"CornflowerBlue","j","reject",0,2923
"9","id0001",1,7,0,1,"AI","training_others",4,6,"CornflowerBlue","f","accept",6,3735
"10","id0001",1,8,0,0,"AI","training_others",6,4,"CornflowerBlue","f","accept",4,11720
"11","id0001",1,9,0,0,"AI","training_others",9,1,"CornflowerBlue","j","reject",0,2126
"12","id0001",1,10,0,0,"human","training_others",4,6,"Orange","f","accept",6,2859
"13","id0001",1,11,0,0,"AI","training_others",8,2,"CornflowerBlue","j","reject",0,2824
"14","id0001",1,12,0,0,"human","training_others",5,5,"Orange","f","accept",5,1993
"15","id0001",1,13,0,0,"human","training_others",6,4,"Orange","j","reject",0,4745
"16","id0001",1,14,0,0,"human","training_others",9,1,"Orange","j","reject",0,2262
"17","id0001",1,15,0,0,"AI","training_others",5,5,"CornflowerBlue","f","accept",5,3594
"18","id0001",1,16,0,0,"AI","training_others",8,2,"CornflowerBlue","j","reject",0,2925
"19","id0001",1,17,0,0,"human","training_others",8,2,"Orange","j","reject",0,1919
"20","id0001",1,18,0,0,"human","training_others",5,5,"Orange","f","accept",5,2950
"21","id0001",1,19,0,0,"AI","training_others",7,3,"CornflowerBlue","j","reject",0,3047
"22","id0001",1,20,0,0,"human","training_others",4,6,"Orange","f","accept",6,2694
"23","id0001",1,21,0,0,"AI","training_others",7,3,"CornflowerBlue","j","reject",0,2042
"24","id0001",1,22,0,0,"AI","training_others",5,5,"CornflowerBlue","f","accept",5,3231
"25","id0001",1,23,0,0,"AI","training_others",6,4,"CornflowerBlue","j","reject",0,2424
"26","id0001",1,24,0,0,"human","training_others",7,3,"Orange","j","reject",0,1949
"27","id0002",0,1,1,0,"practice","Practice",3,7,"black","f","accept",7,4241
"28","id0002",0,2,1,0,"practice","Practice",3,7,"black","f","accept",7,4977
"29","id0002",1,1,0,0,"AI","training_others",7,3,"Orange","j","reject",0,3122
"30","id0002",1,2,0,0,"AI","training_others",4,6,"Orange","f","accept",6,2225
"31","id0002",1,3,0,0,"AI","training_others",9,1,"Orange","j","reject",0,514
"32","id0002",1,4,0,0,"human","training_others",7,3,"CornflowerBlue","j","reject",0,375
"33","id0002",1,5,0,0,"AI","training_others",9,1,"Orange","j","reject",0,585
"34","id0002",1,6,0,0,"AI","training_others",7,3,"Orange","j","reject",0,132
"35","id0002",1,7,0,0,"AI","training_others",5,5,"Orange","f","accept",5,911
"36","id0002",1,8,0,0,"AI","training_others",4,6,"Orange","f","accept",6,926
"37","id0002",1,9,0,0,"human","training_others",8,2,"CornflowerBlue","j","reject",0,203
"38","id0002",1,10,0,0,"human","training_others",9,1,"CornflowerBlue","j","reject",0,170
"39","id0002",1,11,0,0,"human","training_others",8,2,"CornflowerBlue","j","reject",0,183
"40","id0002",1,12,0,0,"human","training_others",5,5,"CornflowerBlue","f","accept",5,677
"41","id0002",1,13,0,0,"AI","training_others",8,2,"Orange","j","reject",0,778
"42","id0002",1,14,0,0,"AI","training_others",5,5,"Orange","f","accept",5,1517
"43","id0002",1,15,0,0,"human","training_others",6,4,"CornflowerBlue","j","reject",0,4154
"44","id0002",1,16,0,0,"AI","training_others",6,4,"Orange","j","reject",0,982
"45","id0002",1,17,0,0,"human","training_others",9,1,"CornflowerBlue","j","reject",0,1870
"46","id0002",1,18,0,0,"human","training_others",4,6,"CornflowerBlue","f","accept",6,589
"47","id0002",1,19,0,0,"AI","training_others",8,2,"Orange","j","reject",0,1377
"48","id0002",1,20,0,0,"human","training_others",4,6,"CornflowerBlue","f","accept",6,563
"49","id0002",1,21,0,0,"human","training_others",7,3,"CornflowerBlue","j","reject",0,2709
"50","id0002",1,22,0,0,"human","training_others",6,4,"CornflowerBlue","j","reject",0,3952
"51","id0002",1,23,0,0,"AI","training_others",6,4,"Orange","j","reject",0,6814
"52","id0002",1,24,0,1,"human","training_others",5,5,"CornflowerBlue","f","accept",5,474
"53","id0003",0,1,1,0,"practice","Practice",7,3,"black","f","accept",3,205
"54","id0003",0,2,1,0,"practice","Practice",9,1,"black","j","reject",0,477
"55","id0003",1,1,0,0,"AI","training_others",5,5,"CornflowerBlue","f","accept",5,579
"56","id0003",1,2,0,1,"AI","training_others",7,3,"CornflowerBlue","f","accept",3,403
"57","id0003",1,3,0,0,"human","training_others",5,5,"Orange","f","accept",5,451
"58","id0003",1,4,0,0,"AI","training_others",6,4,"CornflowerBlue","f","accept",4,347
