"","id","age","gender","training_condition","outcome","money_won","time_elapsed","strategy","know_ug","ug_strategy"
"1","id0001",39,"female","training_others",6,0.3,714482,"I chose the offers with the highest amount for myself in order to keep the average of a randomly selected offer as high as possible.","no",NA
"2","id0002",44,"female","training_others",5,0.25,655974,"I just went with my gut and what offers seemed more fair","No",NA
"3","id0003",28,"male","training_others",3,0.15,307086,"I mostly wanted to accept all offers, because I don't gain anything from denying an offer and that offer not getting selected.","no",NA
"4","id0004",39,"Male","control",3,0.15,402957,"I accepted all because i didn't see the point in rejecting for both parties to recieve nothing","no",NA
"5","id0005",40,"Male","control",6,0.3,339312,"I would not accept anything lower than $3","No",NA
"6","id0006",42,"Female","training_others",0,0,391837,"If they offered me $4 or more I accepted, otherwise they were just greedy and neither one of us got anything. ","No",NA
"7","id0008",26,"Male","control",0,0,457110,"I tried to accept the offers that gave me a fair amount of money in comparison to what the other person or AI bot received in the offers and I rejected the offers where it seemed like the other person/AI got a lot more money then me","No I haven't",NA
"8","id0009",21,"Female","training_others",0,0,388173,"If it was less than $2 for myself I would reject it.","No",NA
"9","id0010",46,"Male","training_others",5,0.25,327135,"Being fair to both of us.","yes","To make the best outcome for you and your partner."
"10","id0011",48,"Male","training_others",0,0,345637,"50/50 split or no go. ","Probably",NA
"11","id0012",30,"male","control",4,0.2,267876,"yes accept all so we can get money!","no",NA
"12","id0013",26,"Male","training_others",0,0,439124,"Since the AI was ""learning,"" I wanted to show it that I would not accept offers I felt were unfair, so that future participants would not be treated unfairly.","No",NA
"13","id0014",36,"female","training_others",0,0,485500,"If either it was split evenly, or if it was 4/6, 6/4 I would accept. Anything that was completely unfair to me I would reject.","No",NA
"14","id0015",30,"Male","control",4,0.2,438534,"I only wanted it to be fair share or at least close enough no matter who's side is getting an advantage or disadvantage.","Sounds familiar.",NA
"15","id0016",39,"Male","training_others",0,0,453092,"I would accept up to a 40/60 split, but not 30/70.","No.",NA
"16","id0017",21,"Female","training_others",0,0,332468,"I wanted a minimum of $4.","No",NA
"17","id0018",25,"female","control",5,0.25,403881,"I just didn't choose unfair options for myself.","No",NA
"18","id0019",45,"male","training_others",5,0.25,332146,"not really","no",NA
"19","id0020",51,"female","training_others",0,0,485037,"yes, I would reject anything less than 3$","no",NA
"20","id0021",30,"Male","training_others",6,0.3,398867,"I only accepted offers offering me $4 or more","No",NA
"21","id0022",71,"female","control",4,0.2,463931,"yes.  To accept all offers that way I will get something versus maybe getting nothing.","no",NA
"22","id0023",53,"female","control",0,0,1117295,"If the amount was less than 3 i rejected","no",NA
"23","id0024",24,"MALE","training_others",0,0,442934,"NO","NO",NA
"24","id0025",34,"Male","training_others",1,0.05,416809,"No",NA,NA
"25","id0026",21,"Male","control",0,0,255153,"If I get more than 3 dollars, I accept","Nope",NA
"26","id0027",51,"female","training_others",0,0,329960,"if it was closer to even, i accepted","no",NA
"27","id0028",39,"FEMALE","control",0,0,386926,"NO","NO",NA
"28","id0029",36,"male","training_others",0,0,586213,"If the difference was less than 2, i just rejected it.","yes","Not real sure..."
"29","id0030",45,"female","control",0,0,391330,"I just felt like it should be as close to fair as possible. Maybe rejecting a low offer would shape the decisions of the other person to make better offers?","no",NA
"30","id0031",29,"male","control",2,0.1,307911,"I accepted most ","No",NA
"31","id0032",58,"male","training_others",0,0,349356,"a 2 dollar threshold basically","no",NA
"32","id0033",39,"Male","control",2,0.1,351768,"No","No",NA
"33","id0034",24,"Female","control",4,0.2,272646,"I accepted most offers to maximize chances of a payout","No",NA
"34","id0036",40,"Male","training_others",6,0.3,453591,"I simply chose which offer would get me equal or more than the other.","No I haven't.","I believe it's best to only try to gain equal or more than your opponent."
"35","id0037",26,"male","training_others",0,0,415066,"no I just went with what felt right.","no",NA
"36","id0038",62,"female","training_others",4,0.2,499836,"Slow down","no","n/a"
"37","id0039",25,"Female","control",4,0.2,316520,"I chose whether or not I felt that they were being greedy or generous.","no",NA
