"","id","block","trial_number","practice_trial","random_trial","opponent","training_condition","proposer_offer","receiver_offer","color","response_key","response","outcome","reaction_time"
"1","id0001",0,1,1,0,"practice","Practice",5,5,"black","f","accept",5,1065
"2","id0001",0,2,1,0,"practice","Practice",1,9,"black","f","accept",9,330
"3","id0001",1,1,0,0,"human","training_self",6,4,"Orange","f","accept",4,367
"4","id0001",1,2,0,0,"human","training_self",8,2,"Orange","j","reject",0,759
"5","id0001",1,3,0,0,"human","training_self",5,5,"Orange","f","accept",5,891
"6","id0001",1,4,0,0,"human","training_self",7,3,"Orange","f","accept",3,1019
"7","id0001",1,5,0,0,"AI","training_self",7,3,"CornflowerBlue","j","reject",0,235
"8","id0001",1,6,0,0,"human","training_self",5,5,"Orange","f","accept",5,356
"9","id0001",1,7,0,0,"AI","training_self",9,1,"CornflowerBlue","j","reject",0,816
"10","id0001",1,8,0,0,"AI","training_self",4,6,"CornflowerBlue","f","accept",6,381
"11","id0001",1,9,0,1,"human","training_self",8,2,"Orange","f","accept",2,1229
"12","id0001",1,10,0,0,"AI","training_self",8,2,"CornflowerBlue","f","accept",2,302
"13","id0001",1,11,0,0,"human","training_self",9,1,"Orange","j","reject",0,400
"14","id0001",1,12,0,0,"human","training_self",9,1,"Orange","f","accept",1,734
"15","id0001",1,13,0,0,"AI","training_self",5,5,"CornflowerBlue","f","accept",5,632
"16","id0001",1,14,0,0,"human","training_self",7,3,"Orange","f","accept",3,427
"17","id0001",1,15,0,0,"human","training_self",4,6,"Orange","f","accept",6,594
"18","id0001",1,16,0,0,"AI","training_self",6,4,"CornflowerBlue","f","accept",4,370
"19","id0001",1,17,0,0,"AI","training_self",5,5,"CornflowerBlue","f","accept",5,1091
"20","id0001",1,18,0,0,"AI","training_self",8,2,"CornflowerBlue","j","reject",0,1371
"21","id0001",1,19,0,0,"AI","training_self",9,1,"CornflowerBlue","j","reject",0,452
"22","id0001",1,20,0,0,"AI","training_self",7,3,"CornflowerBlue","f","accept",3,763
"23","id0001",1,21,0,0,"human","training_self",4,6,"Orange","f","accept",6,560
"24","id0001",1,22,0,0,"human","training_self",6,4,"Orange","f","accept",4,933
"25","id0001",1,23,0,0,"AI","training_self",6,4,"CornflowerBlue","f","accept",4,831
"26","id0001",1,24,0,0,"AI","training_self",4,6,"CornflowerBlue","f","accept",6,333
"27","id0002",0,1,1,0,"practice","Practice",4,6,"black","f","accept",6,7098
"28","id0002",0,2,1,0,"practice","Practice",2,8,"black","f","accept",8,1254
"29","id0002",1,1,0,0,"AI","training_others",4,6,"CornflowerBlue","f","accept",6,2178
"30","id0002",1,2,0,0,"AI","training_others",6,4,"CornflowerBlue","f","accept",4,1371
"31","id0002",1,3,0,0,"human","training_others",6,4,"Orange","f","accept",4,1662
"32","id0002",1,4,0,0,"AI","training_others",8,2,"CornflowerBlue","f","accept",2,2117
"33","id0002",1,5,0,0,"human","training_others",8,2,"Orange","j","reject",0,1316
"34","id0002",1,6,0,0,"AI","training_others",9,1,"CornflowerBlue","f","accept",1,171
